Student Number,Login Id,Full Name,Sortable Name,Email,Course Role
1234567,1234567,Doralice Christina,,Doralice@student.utwente.nl,student
1234568,1234568,Christina Izsa,"Izsa, Christina B. F.",Christina@student.utwente.nl,student
1234569,1234569,Izsa Hendrik,"Hendrik, Izsa van",Izsa@student.utwente.nl,student
1234570,1234570,Hendrik Quentin,"Quentin, Hendrik",Hendrik@student.utwente.nl,student
1234571,1234571,Quentin Kurt,"Kurt, Quentin",Quentin@student.utwente.nl,student
1234572,1234572,Kurt Matt,"Matt, Kurt",Kurt@student.utwente.nl,student
1234573,1234573,Matt Ozmin,"Ozmin, Matt",Matt@student.utwente.nl,student
1234574,1234574,Ozmin Richard,"Richard, Ozmin",Ozmin@student.utwente.nl,student
1234575,1234575,Richard Richard,"Richard, Richard",Richard@student.utwente.nl,student
1234576,1234576,Richard Fanny,"Fanny, Richard",Richard@student.utwente.nl,student
